crate	0BSD	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	MIT-0	MPL-2.0	Unicode-3.0	Unlicense	Zlib	bzip2-1.0.6
abi_stable@0.11.3		X									X						
abi_stable_derive@0.11.3		X									X						
abi_stable_shared@0.11.0		X									X						
adler2@2.0.1	X	X									X						
ahash@0.8.12		X									X						
aho-corasick@1.1.3											X				X		
alloc-no-stdlib@2.0.4					X												
alloc-stdlib@0.2.2					X												
allocator-api2@0.2.21		X									X						
android_system_properties@0.1.5		X									X						
anyhow@1.0.100		X									X						
apache-avro@0.21.0		X															
ar_archive_writer@0.2.0			X														
array-init@2.1.0		X									X						
arrayref@0.3.9				X													
arrayvec@0.7.6		X									X						
arrow@57.0.0		X															
arrow-arith@57.0.0		X															
arrow-array@57.0.0		X															
arrow-buffer@57.0.0		X															
arrow-cast@57.0.0		X															
arrow-csv@57.0.0		X															
arrow-data@57.0.0		X															
arrow-ipc@57.0.0		X															
arrow-json@57.0.0		X															
arrow-ord@57.0.0		X															
arrow-pyarrow@57.0.0		X															
arrow-row@57.0.0		X															
arrow-schema@57.0.0		X															
arrow-select@57.0.0		X															
arrow-string@57.0.0		X															
as-any@0.3.2		X									X						
as_derive_utils@0.11.0		X									X						
async-compression@0.4.19		X									X						
async-ffi@0.5.0											X						
async-lock@3.4.1		X									X						
async-trait@0.1.89		X									X						
atoi@2.0.0											X						
atomic-waker@1.1.2		X									X						
autocfg@1.5.0		X									X						
backon@1.6.0		X															
base64@0.22.1		X									X						
bigdecimal@0.4.9		X									X						
bimap@0.6.3		X									X						
bitflags@2.10.0		X									X						
blake2@0.10.6		X									X						
blake3@1.8.2		X	X				X										
block-buffer@0.10.4		X									X						
bon@3.8.1		X									X						
bon-macros@3.8.1		X									X						
brotli@8.0.2					X						X						
brotli-decompressor@5.0.0					X						X						
bumpalo@3.19.0		X									X						
bytemuck@1.24.0		X									X					X	
byteorder@1.5.0											X				X		
bytes@1.10.1											X						
bzip2@0.5.2		X									X						
bzip2@0.6.1		X									X						
bzip2-sys@0.1.13+1.0.8		X									X						
cc@1.2.43		X									X						
cfg-if@1.0.4		X									X						
chrono@0.4.42		X									X						
chrono-tz@0.10.4		X									X						
comfy-table@7.1.2											X						
concurrent-queue@2.5.0		X									X						
const-oid@0.9.6		X									X						
const-random@0.1.18		X									X						
const-random-macro@0.1.16		X									X						
const_panic@0.2.15																X	
constant_time_eq@0.3.1		X					X					X					
core-foundation-sys@0.8.7		X									X						
core_extensions@1.5.4		X									X						
core_extensions_proc_macros@1.5.4		X									X						
cpufeatures@0.2.17		X									X						
crc32c@0.6.8		X									X						
crc32fast@1.5.0		X									X						
crossbeam-channel@0.5.15		X									X						
crossbeam-epoch@0.9.18		X									X						
crossbeam-utils@0.8.21		X									X						
crunchy@0.2.4											X						
crypto-common@0.1.6		X									X						
csv@1.4.0											X				X		
csv-core@0.1.13											X				X		
darling@0.20.11											X						
darling@0.21.3											X						
darling_core@0.20.11											X						
darling_core@0.21.3											X						
darling_macro@0.20.11											X						
darling_macro@0.21.3											X						
dashmap@6.1.0											X						
datafusion@51.0.0		X															
datafusion-catalog@51.0.0		X															
datafusion-catalog-listing@51.0.0		X															
datafusion-common@51.0.0		X															
datafusion-common-runtime@51.0.0		X															
datafusion-datasource@51.0.0		X															
datafusion-datasource-arrow@51.0.0		X															
datafusion-datasource-csv@51.0.0		X															
datafusion-datasource-json@51.0.0		X															
datafusion-datasource-parquet@51.0.0		X															
datafusion-doc@51.0.0		X															
datafusion-execution@51.0.0		X															
datafusion-expr@51.0.0		X															
datafusion-expr-common@51.0.0		X															
datafusion-ffi@51.0.0		X															
datafusion-functions@51.0.0		X															
datafusion-functions-aggregate@51.0.0		X															
datafusion-functions-aggregate-common@51.0.0		X															
datafusion-functions-nested@51.0.0		X															
datafusion-functions-table@51.0.0		X															
datafusion-functions-window@51.0.0		X															
datafusion-functions-window-common@51.0.0		X															
datafusion-macros@51.0.0		X															
datafusion-optimizer@51.0.0		X															
datafusion-physical-expr@51.0.0		X															
datafusion-physical-expr-adapter@51.0.0		X															
datafusion-physical-expr-common@51.0.0		X															
datafusion-physical-optimizer@51.0.0		X															
datafusion-physical-plan@51.0.0		X															
datafusion-proto@51.0.0		X															
datafusion-proto-common@51.0.0		X															
datafusion-pruning@51.0.0		X															
datafusion-session@51.0.0		X															
datafusion-sql@51.0.0		X															
derive_builder@0.20.2		X									X						
derive_builder_core@0.20.2		X									X						
derive_builder_macro@0.20.2		X									X						
digest@0.10.7		X									X						
displaydoc@0.2.5		X									X						
dissimilar@1.0.10		X															
either@1.15.0		X									X						
equivalent@1.0.2		X									X						
errno@0.3.14		X									X						
event-listener@5.4.1		X									X						
event-listener-strategy@0.5.4		X									X						
expect-test@1.5.1		X									X						
fastrand@2.3.0		X									X						
find-msvc-tools@0.1.4		X									X						
fixedbitset@0.5.7		X									X						
flatbuffers@25.9.23		X															
flate2@1.1.5		X									X						
fnv@1.0.7		X									X						
foldhash@0.1.5																X	
form_urlencoded@1.2.2		X									X						
futures@0.3.31		X									X						
futures-channel@0.3.31		X									X						
futures-core@0.3.31		X									X						
futures-executor@0.3.31		X									X						
futures-io@0.3.31		X									X						
futures-macro@0.3.31		X									X						
futures-sink@0.3.31		X									X						
futures-task@0.3.31		X									X						
futures-timer@3.0.3		X									X						
futures-util@0.3.31		X									X						
generational-arena@0.2.9													X				
generic-array@0.14.9											X						
getrandom@0.2.16		X									X						
getrandom@0.3.4		X									X						
glob@0.3.3		X									X						
gloo-timers@0.3.0		X									X						
half@2.7.1		X									X						
hashbrown@0.14.5		X									X						
hashbrown@0.15.5		X									X						
hashbrown@0.16.0		X									X						
